No,Pertanyaan,Jawaban
1,apa yang dimaksud dengan budidaya?,kegiatan untuk memproduksi suatu komuditas secara terkontrol dalam mendapatkan profit
2,bagaimana cara meningkatkan omset dalam usaha?,mencari keunggulan produk dan mencari target pasar yang baik
3,apa alasan ingin berbudidaya di komuditas tersebut?,karena di lokasi budidaya memiliki air yang melimpah juga ikan mas yang banyak peminat di pasaran dan ikan mas sangat bergizi baik untuk dikonsumsi
4,apa saja keunggulan dari komuditas ikan tersebut?,"mudah di budidayakan,permintaan pasar yang luas,mudah untuk dipijahkan"
5,bagaimana cara mengendalikan hama dan penyakit,"menjaga kualitas air,suhu dan ph serta pakan yang baik."
6,bagaimana cara menarik daya minat konsumen untuk membeli produk kita,"mengenali target pembeli,manfaatkan Media Sosial,memberikan diskon jika membeli banyak produk"
7,bagaimana proses penjualan produk yang dilakukan,menjual produk secara door to door serta penjualan online di marketplace serta merekrut orang untuk menjadi resseler.
8,kegiatan budidaya apa saja yang dilakukan ?,"kegiatan yang dilakukan yaitu dari pemijahan,pembenihan,dan pembesaran"
9,bagaimana proses packing untuk produk yang akan dikirim,"memilih ikan yang sehat,dilakukan pemberokan terlebih dahulu,di beri air yang bersih dan oksigen"
10,Bagaimana cara mengatasi masalah-masalah yang menghambat bisnis usaha?,membuat inovasi baru supaya serta menjaga kualitas produk
11,Apakah pernah mengalami kegagalan dalam usaha?,dalam usaha pasti ada kegalalan yaitu dalam pemasaran dan ikan yang terserang penyakit
12,Apa rencana kedepanya untuk perusahaan?,lebih giat lagi untuk melakukan kegiatan  pemijahan dan pemasaran online maupun terjun ke pasar serta ingin menjadikan tempat pelatihan/magang
13,Berapa lama waktu yang di butuhkan untuk panen?,membutuhkan waktu 3-6 bulan
14,berapa isi ikan konsumsi dalam 1kg,1kg isi 5-6 ekor
15,kendala yang dialami saat usaha budidaya,kualitas air karena suhu dingin yang menyebabkan ikan rentan terkena penyakit
16,mengapa memilih budidaya ikan nila dan ikan mas?,mempunyai cara budidaya yang relatif mudah serta tidak memakan banyak uang dan tenaga.
17,kendala budidaya ikan nila,kemampuan reproduksi ikan yang tinggi sehingga sukar diatur dan sering terjadi inbreeding.
18,"Referensi Blogger kegiatan proyek kewirausahaan dan budidaya Ikan Nila, Ikan Mas",https://ikanmasbwi.blogspot.com/2021/10/asal-usul-ikan-mas.html
,"Mira, 2023. Budidaya ikan mas",