NO,PERTANYAAN ,JAWABAN ,SUMBER
1. ,Bagaimana ukuran 1 kolam dan bagaimana biaya perkolam ?,"Kolam terpal berukuran 2x1 meter dipilih sebagai media budidaya dengan anggaran Rp1,5 juta hingga Rp2 juta. Biaya tersebut meliputi pembelian bibit 
belut sebanyak 10 kg seharga Rp900.000, terpal dengan harga Rp150.000, bambu untuk pematang kolam sebesar Rp100.000, serta biaya media dan pengerjaan kolam.","""Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."""
2.,Berapa lama umur 1 kolam?,Umur 1 kolam terpal +- 2th,"Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
3.,Kenapa dari 1 kolam tinggi lumpurnya 25-30 cm?,"Karena menyesuaikan dengan lingkungan alami belut dialam liat seperti sawah dengan ketinggian lumpur 25-30 cm Hal ini bertujuan untuk 
menciptakan habitat yang optimal bagi pertumbuhan belut, sehingga mereka dapat berkembang secara maksimal.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
4.,Sudah berapa banyak pelatihan dan siapa saja pengikutnya?,"Untuk pengikut pelatihan  >100, dengan didominasi dari luar daerah, dengan asumsi kebutuhan bibit  perminggu +-1ton (rata rata pesanan bibit 10-20kg/mitra)","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
5.,"Dari pelatihan yang ada, berapa banyak yang sukses, siapa namanya dan alamatnya?","Dikarenakan dengan kurangnya manajemen, maka sangat sulit menemukan data mitra serta alamat mitra, namun hasil wawancara dengan pak Wardi ditemukan data bahwa sebagian besar mitra akan membeli bibit kembali/ 3bulan","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
6.,Foto 200 kolam belut perlihatkan?,https://drive.google.com/file/d/1xjsl6jOwa28H23ZZsfPUNBw-rxXMuvBF/view?usp=drivesdk,"Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
7.,Penduduk setempat tersebut mengapa tidak terlibat mengisi kolam yang kosong?,"Bagi masyarakat sekitar, sebagian pernah mencoba menjadi mitra budidaya belut, tetapi mengalami kegagalan karena tidak mengikuti panduan yang diberikan, seperti yang  mitra yang memaksa. Selain itu, masalah utama lain yang menyebabkan banyak kolam kosong adalah ketidakseimbangan manajemen stok antara pembenihan dan kebutuhan konsumsi restoran, yang mengakibatkan ketidakefisienan produksi","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
8.,Apa pengaruh adanya peternakan belut?,"Pengaruh dengan adanya peternakan belut tentunya sangat dirasakan khususnya bagi masyarakat yang langsung terlibat dalam usaha omah belut kang Wardi, perekonomian mereka sangat terbantu karena terdapatnya lapangan pekerjaan","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
9.,"Bagaimana pembibitan belut pak wardi di Dusun Sabrang wetan, Desa wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta?","Lokasi pembibitan belut yang dikunjungi memiliki total 200 kolam, dengan rencanabulan pembangunan 20 kolam tambahan. Saat ini, sekitar 15% dari total kolam telah terisibelut. Dalam seminggu, lokasi ini pesanan 1 sd 2 ton, maka dari itu pendapatan pemasokan dari partner Kerjasama di tempat lain. Dengan periode pasca panen yang memakan waktu selama 4 bulan.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
10.,"Bagaimana sistem pemijahan belut yang berada ditempat pak wardi di Dusun Sabrang wetan, Desa wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta?","Sistem pemijahan dilakukan dengan rasio cacing 1:4, di mana satu jantan dikawinkan dengan empat betina, yang dapat menghasilkan sekitar 1.000 ekor anakan. Persiapan media pembibitan melibatkan penggunaan bahan-bahan seperti lumpur (50%, setara dengan 50 ember), gedebok pisang (15%, setara dengan 15 ember), damen (10%, setara dengan 10 ember), serta kotoran sapi (15%, setara dengan 15 ember) yang dapat menghasilkan jentik cacing.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
11.,Bagaimana sistem pemasaran belut tersebut?,"Dari sisi bisnis, omset yang dihasilkan cukup signifikan, dengan penjualan bibit mencapai 200 ekor per hari.Sistem pendataan yang digunakan masih bersifat manual, dan bibit dijual kepada pihak yang memerlukan. Media kolam memerlukan persiapan selama satu bulan, kedalaman lumpur minimal 25 cm","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
12.,Berapa harga bibit belut per/kg?,"Harga bibit belut mencapai 90 ribu rupiah per kilogram, sedangkan belut konsumsi dijual seharga 80 ribu rupiah per kilogram.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
13.,Usia berapa belut bisa dipijahkan?,"Umur 3 bulan bisa dipijahkan, belut bersifat hermafrodit dan pada usia lebih dari satu tahun tidak dapat lagi melakukan pemijahan","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
14.,Apa pakan utama belut ?,"Pakan utama belut adalah cacing, sedangkan pakan tambahan dapat berupa, usus ayam, atau ikan air tawar.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
15.,Apa fungsi penting eceng gondog bagi pembibitan belut?,"Berbagai bahan ini memiliki fungsi penting; eceng gondok, misalnya, berfungsi untuk mengontrol pH air, menarik oksigen, dan menambah keindahan alam. Tanaman seperti kangkung, genjer, atau teratai juga bisa digunakan sebagai alternatif.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
16.,"Berapa biaya pelatihan di pembibitan belut, pak wardi di Dusun Sabrang wetan, Desa wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta?","Program pelatihan dengan biaya yang bervariasi: paket A seharga 2 juta rupiah, paket B seharga 1 juta rupiah, dan paket C seharga 150 ribu rupiah dengan durasi pelatihan selama dua jam. Biaya makanan untuk peserta pelatihan dihitung untuk 30 orang.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
17. ,Apakah ada dampak keberhasilan dalam pembibitan belut di omah belut kang wardi ini? ,"kehadiran usaha budidaya belut, khususnya melalui Omah Belut Kang Wardi, memberikan dampak ekonomi yang signifikan bagi masyarakat yang terlibat langsung. Usaha ini menciptakan lapangan kerja baru dan membantu meningkatkan perekonomian lokal, terutama bagi warga yang terlibat dalam berbagai proses produksi dan distribusi belut. Hal ini menjadi bukti bahwa usaha budidaya belut dapat memberikan kontribusi yang positif bagi kesejahteraan masyarakat jika dikelola dengan baik.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
18. ,Dalam sehari bisa berapa kuintal belut untuk di bibit kan? ,"Setiap harinya, bibit belut sebanyak 2 kuintal dimasukkan ke dalam kolam.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
19.,Alat apa saja dalam penyortiran belut? ,Untuk penyortiran belut digunakan jaring atau alat saringan. ,"Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
20.,Jelaskan berapa kebutuhan belut dalam 1 minggu? ,"Kebutuhan bibit belut rata-rata mencapai Â±1 ton per minggu, dengan pesanan per mitra berkisar antara 10-20 kg. Namun konsisten manajemen mitra yang kurang terstruktur menjadi kendala utama dalam pelacakan data, seperti alamat dan informasi mitra. Berdasarkan wawancara dengan Bapak Wardi, mayoritas mitra membeli bibit kembali setiap tiga bulan, yang menunjukkan siklus budidaya yang konsisten.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."